Start_interval,Lactose,Whey central,Whey west
1/2/2023,0.47044335,0.41,0.435
1/9/2023,0.465517241,0.4025,0.435
1/16/2023,0.460591133,0.3725,0.415
1/23/2023,0.438423645,0.36,0.405
1/30/2023,0.433497537,0.36,0.385
2/6/2023,0.403940887,0.3725,0.38
2/13/2023,0.399014778,0.3825,0.4025
2/20/2023,0.399014778,0.405,0.41875
2/27/2023,0.384236453,0.415,0.43
3/6/2023,0.366995074,0.42,0.43
3/13/2023,0.344827586,0.43,0.44
3/20/2023,0.330049261,0.43,0.44
3/27/2023,0.330049261,0.44,0.435
4/3/2023,0.300492611,0.44,0.43
4/10/2023,0.280788177,0.44,0.415
4/24/2023,0.275862069,0.405,0.4125
5/1/2023,0.266009852,0.3975,0.4
5/8/2023,0.251231527,0.3775,0.395
5/15/2023,0.251231527,0.35,0.38
5/22/2023,0.251231527,0.325,0.365
5/29/2023,0.236453202,0.31,0.355
6/5/2023,0.221674877,0.31,0.335
6/12/2023,0.221674877,0.3,0.335
6/19/2023,0.221674877,0.2875,0.335
6/26/2023,0.206896552,0.27375,0.30125
7/3/2023,0.201970443,0.26,0.3
7/10/2023,0.192118227,0.2525,0.3
7/15/2023,0.189655172,0.2425,0.27
7/24/2023,0.192118227,0.25,0.28
7/31/2023,0.192118227,0.25,0.285
8/7/2023,0.197044335,0.25,2.95
8/14/2023,0.206896552,0.2525,0.31
8/21/2023,0.206896552,0.2525,0.32
8/28/2023,0.221674877,0.27,0.34
9/4/2023,0.226600985,0.28,0.33
1/3/2022,0.399014778,0.695,0.72625
1/10/2022,0.399014778,0.715,0.73625
1/17/2022,0.399014778,0.735,0.7475
1/24/2022,0.399014778,0.745,0.765
1/31/2022,0.399014778,0.775,0.79
2/7/2022,0.399014778,0.7925,0.81
2/14/2022,0.399014778,0.80125,0.8
2/21/2022,0.399014778,0.805,0.7925
2/28/2022,0.399014778,0.7825,0.7825
3/7/2022,0.399014778,0.7825,0.77
3/14/2022,0.408866995,0.775,0.76
3/28/2022,0.408866995,0.715,0.7275
4/4/2022,0.418719212,0.645,0.6625
4/11/2022,0.428571429,0.6425,0.645
4/18/2022,0.428571429,0.6425,0.655
4/25/2022,0.428571429,0.635,0.655
5/2/2022,0.428571429,0.63,0.62
5/9/2022,0.428571429,0.61,0.62
5/16/2022,0.431034483,0.59,0.61
5/23/2022,0.431034483,0.5775,0.59
5/30/2022,0.431034483,0.575,0.59
6/6/2022,0.433497537,0.575,0.5925
6/13/2022,0.433497537,0.57,0.59
6/20/2022,0.438423645,0.57,0.575
6/27/2022,0.448275862,0.5325,0.555
7/4/2022,0.448275862,0.525,0.54
7/11/2022,0.448275862,0.525,0.54
7/18/2022,0.448275862,0.4975,0.51
7/25/2022,0.448275862,0.485,0.51
8/1/2022,0.448275862,0.455,0.51
8/8/2022,0.448275862,0.45,0.485
8/15/2022,0.448275862,0.45,0.49
8/22/2022,0.448275862,0.4525,0.49
8/29/2022,0.448275862,0.4525,0.535
9/5/2022,0.448275862,0.46,0.515
9/12/2022,0.450738916,0.46,0.53
9/19/2022,0.450738916,0.45,0.5425
9/26/2022,0.450738916,0.4425,0.515
10/3/2022,0.458128079,0.44,0.5
10/10/2022,0.458128079,0.44,0.5
10/17/2022,0.477832512,0.44,0.505
10/24/2022,0.477832512,0.44,0.495
10/31/2022,0.477832512,0.44,0.48625
11/7/2022,0.477832512,0.44,0.48
11/14/2022,0.477832512,0.44,0.485
11/21/2022,0.477832512,0.44,0.485
11/28/2022,0.477832512,0.435,0.48
12/5/2022,0.477832512,0.43,0.4775
12/12/2022,0.467980296,0.415,0.4775
12/19/2022,0.467980296,0.41,0.465
12/26/2022,0.467980296,0.405,0.44
1/4/2021,0.399014778,0.45125,0.46
1/11/2021,0.399014778,0.485,0.48
1/18/2021,0.399014778,0.49,0.4875
1/25/2021,0.413793103,0.495,0.5
2/1/2021,0.406403941,0.5025,0.5075
2/8/2021,0.406403941,0.5075,0.515
2/15/2021,0.406403941,0.52,0.515
2/22/2021,0.413793103,0.5225,0.54125
3/1/2021,0.413793103,0.5625,0.5475
3/8/2021,0.418719212,0.565,0.5625
3/15/2021,0.42364532,0.59,0.58
3/22/2021,0.433497537,0.6,0.595
3/29/2021,0.438423645,0.605,0.60375
4/5/2020,0.443349754,0.61,0.615
